name,category,spanish,participation,country,region,season,summary,ages,price,nationality,validity,website,facebook,source,host,references
Worldschool Antigua Guatemala,spanish_immersion,False,dropoff,Guatemala,Antigua Guatemala,"Multiple 3-week programs across 2025–2026 (Sept, Oct, Nov, Jan, Feb, Jun, Jul)","Not traditional schooling — cultural learning, crafts, physical learning and emotional learning","{""min"": 4, ""max"": 12}",2025: ~$700 / 2026: ~$770 USD for the 3-week program per child,Mixed intl,from PDF,https://www.worldschoolantigua.com,https://www.facebook.com/groups/1242934149733237,PDF (June-2026 listing),Alana O'Donohue,Website: https://www.worldschoolantigua.com ; Facebook / Instagram: https://www.facebook.com/groups/1242934149733237 ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/:  ; Antigüeña Spanish Academy (R110): https://www.spanishacademyantiguena.com/ ; No Back Home — Guatemala schools (R110): https://nobackhome.com/spanish-schools-in-guatemala/
Oaxaca (Spanish schools),spanish_immersion,True,family,Mexico,Oaxaca,Nov–Apr,Cultural Mexican city with long-running immersion schools (Instituto Cultural Oaxaca) plus Deliberate Detour programs; worldschooling families nest here Nov–Apr.,,,US/Canadian + intl,High,https://www.icomexico.com/,,web research (gathering-places + Spanish cut + traveling),,Website: https://www.icomexico.com/ ; Deliberate Detour (R76): https://deliberatedetour.com/
San Cristóbal de las Casas,spanish_immersion,True,family,Mexico,San Cristóbal,Nov–Apr,"Highland Chiapas town with Spanish schools (Tierras Mayas, Fluenz) where worldschooling families have based for months.",,,Mixed intl,Med,,,web research (gathering-places + Spanish cut + traveling),,Fluenz — Chiapas (R113): https://fluenz.com/spanish-immersion/chiapas
Granada (family Spanish),spanish_immersion,True,family,Spain,Granada,Year-round,"Andalusian city offering family Spanish courses (Escuela Montalbán, Enforex) with teacher-homestays—the EU option for immersion.",,,Mixed European,Med,https://www.escuela-montalban.com/,,web research (gathering-places + Spanish cut + traveling),,Website: https://www.escuela-montalban.com/ ; Escuela Montalbán — family Spanish (R118): https://www.escuela-montalban.com/en/courses/spanish-for-families.php
Jewish Worldschoolers,online_communities,False,family,,,2026 date TBD,A whole-family worldschooling hub.,"{""min"": 0, ""max"": 100}",,Israeli/Jewish,Low,,https://www.facebook.com/groups/JewishWorldschoolers,PDF (June-2026 listing),Rachael Love Cohen,Facebook / Instagram: https://www.facebook.com/groups/JewishWorldschoolers ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
The Hub,junk,False,dropoff,,,"Aug/Sept through Nov/Dec, and Jan/Feb through May/June","Project-based group work — games, puzzles, collaborative storytelling and art, research and presenting, video production; jointly selected by participants and facilitators","{""min"": 9, ""max"": 16, ""note"": ""9 to 16+""}",Varies; scholarships available if needed,,from PDF,https://thehub.community,https://www.facebook.com/TheHubCommunityGroup,PDF (June-2026 listing),Luba Vangelova,Website: https://thehub.community ; Facebook / Instagram: https://www.facebook.com/TheHubCommunityGroup ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Worldly Teens,junk,False,dropoff,,,active,A drop-off worldschooling hub.,"{""min"": 13, ""max"": 17}",Free chat on Discord; in-person event TBC,,Low,,,PDF (June-2026 listing),Sophie Morris,Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Worldschool.au,junk,False,dropoff,Australia + Indonesia,Australia & Bali,Year-round network,Australian-connected hub network running locally + in Bali.,All,Free,,web candidate (Medium),worldschool.au,,web research (WorldlyTribe),Worldschool.au,Website: https://worldschool.au ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Bliss Hubs Siem Reap,organic,False,,Cambodia,Siem Reap,Long-stay,"Bliss community hub, Siem Reap.",All,Free (community),,web candidate (Medium),https://blissinvestor.com,,web research (Worldschooly),Bliss Hubs,Website: https://blissinvestor.com ; Worldschooly directory: https://worldschooly.com/hubs/
Shanti Shanti,permanent_community,False,family,Cambodia,Kampot,Slow riverside base; meetups,Riverside community popular with longer-stay families.,All,Free / ~$200 meetup,,web candidate (Medium),https://shantivillage.com,,web research (Worldschooly; WorldlyTribe),Shanti Shanti,Website: https://shantivillage.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschooly directory: https://worldschooly.com/hubs/
My Worldschool Hub,online_communities,False,family,England,Brighton & Margate,Community meetups,Community hubs for families easing into worldschooling (UK).,All,Free,,web candidate (Medium),,instagram.com/myworldschoolhub,web research (WorldlyTribe),My Worldschool Hub,Facebook / Instagram: https://instagram.com/myworldschoolhub ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Bliss Hubs Bali,organic,False,,Indonesia,Bali,Year-round,Free WhatsApp community hub.,All,Free,,web candidate (Medium),blissinvestor.com,,web research (WorldlyTribe),Bliss Investor,Website: https://blissinvestor.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Bliss Hubs Kuala Lumpur,organic,False,,Malaysia,Kuala Lumpur,Year-round,Year-round Malaysian city repeatedly named the best SE-Asia base for homeschooling community and flexible long stays.,All,Free,,web candidate (Medium),blissinvestor.com,,web research (WorldlyTribe),Bliss Investor,Website: https://blissinvestor.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Parenting&Passports — KL (R2): https://parentingandpassports.com/worldschooling-slow-travel-southeast-asia/
Algarve Worldschooling Hub (Naturally Richer),organic,False,dropoff,Portugal,Algarve,Nov-May; 1 week to several months,"Optional daily meetups (beach, hikes, arts, cultural outings).",Families,€50-200 participation,,web candidate (Medium),naturallyricher.com,,web research (WorldschoolHubs blog; sources.md registry),Katarina Garnett,Website: https://naturallyricher.com ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/
Porto Grana Worldschoolers Hub,junk,False,dropoff,Portugal,Porto Grana,Community studio,Community studio hub in Portugal.,All,Free,,web candidate (Medium),portograna.wixsite.com,,web research (WorldlyTribe),Porto Grana,Website: https://portograna.wixsite.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Fuerteventura Worldschool Hub,junk,False,family,Spain,"Fuerteventura, Canary Islands",Short-term,"Self-driven family hub, Canary Islands.",Mixed,Varies,,web candidate (Medium),theworldschoolatlas.com/listing/fuerteventura-worldschool-hub/,,web research (Worldschool Atlas),,Website: https://theworldschoolatlas.com/listing/fuerteventura-worldschool-hub/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/
Gran Canaria Worldschool Hub,junk,False,family,Spain,"Gran Canaria, Canary Islands",Pop-up/event,"Self-driven family hub, Canary Islands.",Mixed,Varies,,web candidate (Medium),theworldschoolatlas.com/listing/gran-canaria-worldschool-hub/,,web research (Worldschool Atlas),,Website: https://theworldschoolatlas.com/listing/gran-canaria-worldschool-hub/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/
Tenerife Worldschool Hub,junk,False,family,Spain,"Tenerife, Canary Islands",Varies,"Self-driven family hub, Canary Islands.",Mixed,Varies,,web candidate (Medium),theworldschoolatlas.com/listing/tenerife-worldschool-hub/,,web research (Worldschool Atlas),,Website: https://theworldschoolatlas.com/listing/tenerife-worldschool-hub/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/
Bliss Hubs Koh Lanta,organic,False,family,Thailand,Koh Lanta,Nov–Apr,Free WhatsApp community for longer-stay families.,All,Free,Swedish / Scandinavian,web candidate (Medium),blissinvestor.com/community/worldschoolers-in-koh-lanta-thailand/,,web research (Bliss Hubs; WorldlyTribe),Bliss Investor,Website: https://blissinvestor.com/community/worldschoolers-in-koh-lanta-thailand/ ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Bliss Hubs directory: https://blissinvestor.com/ ; Scandasia — Koh Lanta Swedish (R103): https://scandasia.com/3397-taking-thaim-out-immensely-popular-among-the-swedes/ ; Parenting&Passports — Koh Lanta (R9): https://parentingandpassports.com/
Bliss Hubs Krabi,organic,False,family,Thailand,Krabi (Andaman coast),Year-round,A whole-family family-gathering destination in Krabi (Andaman coast).,All,Free,,web candidate (Medium),blissinvestor.com,,web research (WorldlyTribe),Bliss Investor,Website: https://blissinvestor.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Panya Forest,permanent_community,False,,Thailand,Mae Taeng,Year-round,Permaculture community hub in northern Thailand.,All,Varies,,web candidate (Medium),https://panyaforest.com,,web research (WorldlyTribe),Panya,Website: https://panyaforest.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Remote Family Database (directory),junk,False,family,global (online),n/a,n/a,Filterable worldschooling DB. Add to sources.md rather than as a hub.,All,Free,,web candidate (Low),remotefamily.com,,web research (WorldlyTribe),Remote Family,Website: https://remotefamily.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
We Are Worldschoolers (online),online_communities,False,dropoff,global (online),n/a,n/a,One of the most established communities. Founder also runs Project World School.,All,Free,,web candidate (Low),,facebook.com 'We Are Worldschoolers',web research (WorldschoolHubs blog),Lainie Liberti,Facebook / Instagram: https://facebook.com 'We Are Worldschoolers' ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/
WorldSchool Collective (directory),online_communities,False,dropoff,global (online),n/a,n/a,Listed as a directory/resource. Better as a source than a hub entry.,All,Free,,web candidate (Low),worldschoolcollective.com,,web research (WorldschoolHubs blog),WorldSchool Collective,Website: https://worldschoolcollective.com ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/
Worldschooling Central (online),online_communities,False,dropoff,global (online),n/a,n/a,"Major FB community (~10K). Per project rules, a discovery channel not an entry - confirm if you want it listed.",All,Free,,web candidate (Low),facebook.com/groups/worldschoolingcentral,,web research (WorldlyTribe; sources.md),Worldschooling Central,WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Whale Camp,summer_camp,False,,Canada,"Grand Manan, New Brunswick",Summer (June–August),rendered from wanderworks.life,10–17,,,inbox-approved,https://whalecamp.com/,,inbox (browser:wanderworks.life),,Website: https://whalecamp.com/
Agora Andorra International School Summer Camp,summer_camp,False,dropoff,Andorra,Andorra la Vella,July,rendered from wanderworks.life,8–15,€376–€2102/week,,inbox-approved,https://andorra.agorainternationalschool.es/en/school-life/summer-camp,,inbox (browser:wanderworks.life),,Website: https://andorra.agorainternationalschool.es/en/school-life/summer-camp
Skiten Summer Camp,summer_camp,False,,Belgium,"La Bruyère, Belgium",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/b0b5ad85-2532-44ff-a47b-6b8a4603cec5,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/b0b5ad85-2532-44ff-a47b-6b8a4603cec5
Cloud Forest School Summer Camp,summer_camp,False,dropoff,Costa Rica,"Monteverde, Costa Rica",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/d8d9a013-4b4f-41d5-bdfd-74db65691a53,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/d8d9a013-4b4f-41d5-bdfd-74db65691a53
Exploranatura Summer Camp,summer_camp,False,,Costa Rica,"Tamarindo, Costa Rica",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/43ed2f03-11f5-41a0-bb7f-8549386823db,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/43ed2f03-11f5-41a0-bb7f-8549386823db
Prague British International School Summer Camp,summer_camp,False,dropoff,Czech Republic,"Praha, Czech Republic",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/4917a6e1-5605-490e-af33-83500e81e5a1,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/4917a6e1-5605-490e-af33-83500e81e5a1
CopenCamp Summer Camp,summer_camp,False,,Denmark,"Hellerup, Denmark",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/0326ed3f-997f-49cf-87f2-79b6d2ae733e,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/0326ed3f-997f-49cf-87f2-79b6d2ae733e
Alpine French School Day Camp,summer_camp,False,dropoff,France,"Morzine, France",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/5319bf26-1872-436d-8708-47d753080f98,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/5319bf26-1872-436d-8708-47d753080f98
Ecole Ducasse Paris Cooking Camp,summer_camp,False,,France,"Paris, France",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/ea4085f8-8fb0-47f0-9151-3ca72e1c61a0,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/ea4085f8-8fb0-47f0-9151-3ca72e1c61a0
ICS Paris International School Summer Camp,summer_camp,False,dropoff,France,"Paris, France",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/becb5918-fc70-4c6a-a72e-1102e980f052,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/becb5918-fc70-4c6a-a72e-1102e980f052
International Bilingual School of Provence Summer Camp,summer_camp,False,dropoff,France,"Aix-en-Provence, France",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/d0287652-d7fb-4c21-96ef-5c5d6394f174,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/d0287652-d7fb-4c21-96ef-5c5d6394f174
International Language Camps,summer_camp,False,,France,"Megève, France",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/8a91c42d-e4dd-4478-a35a-198631390752,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/8a91c42d-e4dd-4478-a35a-198631390752
Living School,summer_camp,False,dropoff,France,"Paris, France",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/77c53b02-b302-4d3a-b850-73a31fd0651b,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/77c53b02-b302-4d3a-b850-73a31fd0651b
Abrakadabra Spielsprachschule Summer Day Camp,summer_camp,False,,Germany,"Berlin, Germany",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/2a183560-7ef2-4add-99dc-7e7cd09095c6,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/2a183560-7ef2-4add-99dc-7e7cd09095c6
Empathy School Summer Camp,summer_camp,False,dropoff,Indonesia,"Gianyar, Indonesia",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/38d826ae-2e24-447c-964c-c3380164c7d6,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/38d826ae-2e24-447c-964c-c3380164c7d6
Green Camp Bali,summer_camp,False,,Indonesia,"Badung, Indonesia",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/a7d74f6e-b035-421c-81f7-6cede21aabca,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/a7d74f6e-b035-421c-81f7-6cede21aabca
Buena Onda Surf Camp,summer_camp,False,,Italy,"Olbia, Italy",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/dc7f3bcf-9532-426f-bffc-6355fdc5d537,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/dc7f3bcf-9532-426f-bffc-6355fdc5d537
CAIL English City Tour Summer Camp,summer_camp,False,,Italy,"Bologna, Italy",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/def55a6c-8310-4ad8-9285-fdee21c547e5,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/def55a6c-8310-4ad8-9285-fdee21c547e5
"Fashion, Art & Design Summer Camp",summer_camp,False,,Italy,"Milano, Italy",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/e432d4d2-5209-4699-8db2-0097dd56d708,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/e432d4d2-5209-4699-8db2-0097dd56d708
Village Forest School Summer Camp,summer_camp,False,dropoff,Italy,"Cerrina Monferrato, Italy",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/20efef43-4761-46b5-9477-976f163bebc4,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/20efef43-4761-46b5-9477-976f163bebc4
A-Go Outdoors Aoshima,summer_camp,False,,Japan,"Miyazaki, Japan",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/ed94bfd7-51a1-4285-a7b0-bbc6b4c4df91,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/ed94bfd7-51a1-4285-a7b0-bbc6b4c4df91
Evergreen Outdoor Center Summer Camps,summer_camp,False,,Japan,"Hakuba, Japan",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/6aa7bf16-5e21-4419-b1c8-3b58cf1e0da2,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/6aa7bf16-5e21-4419-b1c8-3b58cf1e0da2
La Paz Divers Marine Biology Summer Camp,summer_camp,False,,Mexico,"La Paz, Mexico",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/531d5b92-b29b-46e9-9894-46c68dfb7094,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/531d5b92-b29b-46e9-9894-46c68dfb7094
Oasis Spanish and Surf School,summer_camp,True,dropoff,Mexico,"Puerto Escondido, Mexico",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/301b355f-14d0-4953-bbd2-f06703288b79,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/301b355f-14d0-4953-bbd2-f06703288b79
Knightsbridge Schools International Montenegro Summer Camp,summer_camp,False,dropoff,Montenegro,"Tivat, Montenegro",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/5e351e35-0255-4053-a975-753aa4b3338c,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/5e351e35-0255-4053-a975-753aa4b3338c
Terragon Nature Lab Summer Camp,summer_camp,False,,Netherlands,"Amsterdam, Netherlands",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/e6af525d-e027-4667-b31f-85fb125e3607,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/e6af525d-e027-4667-b31f-85fb125e3607
Wow Family Center Summer Camp,summer_camp,False,family,Netherlands,"Amsterdam, Netherlands",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/919f5e81-8b4e-4cff-b9f6-293a9cc29d33,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/919f5e81-8b4e-4cff-b9f6-293a9cc29d33
Esti School Summer Camp,summer_camp,False,dropoff,Poland,"Kraków, Poland",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/2b181e30-5fa7-4c1a-b28f-eccfdcd62038,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/2b181e30-5fa7-4c1a-b28f-eccfdcd62038
Campo Aventura,summer_camp,False,,Portugal,"Olho Marinho, Portugal",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/8b0807f4-55e1-4d49-913f-69969d8176b3,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/8b0807f4-55e1-4d49-913f-69969d8176b3
Cascais Routes,summer_camp,False,,Portugal,"Cascais, Portugal",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/c1f736be-b3c4-4367-8776-c72a7a200006,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/c1f736be-b3c4-4367-8776-c72a7a200006 ; Vital & Omer (HE) — Cascais/Lisbon (R98): https://vitalandomer.co.il/kids
Escola La Fora Summer Camp,summer_camp,False,,Portugal,"Lisboa, Portugal",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/be234a86-e4e0-4e7d-bca6-d9da5125cd7d,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/be234a86-e4e0-4e7d-bca6-d9da5125cd7d
Prime School International Summer Camp,summer_camp,False,dropoff,Portugal,"Estoril, Portugal",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/7a60c21b-7539-44c9-911e-d28f5a338339,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/7a60c21b-7539-44c9-911e-d28f5a338339
Takeoff Ocean Academy Surf School,summer_camp,False,dropoff,Portugal,"Cascais, Portugal",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/68a20017-4b23-43a5-83e5-cffed830d662,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/68a20017-4b23-43a5-83e5-cffed830d662
VivaLab Future Makers Summer Camp,summer_camp,False,,Portugal,"Porto, Portugal",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/38ec07e8-9623-4baa-8471-5af3e1e21d42,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/38ec07e8-9623-4baa-8471-5af3e1e21d42
Waves and Minds Surf and Emotional Intelligence Camp,summer_camp,False,,Portugal,"Ericeira, Portugal",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/a42ce90a-3c16-4d8e-91d9-47c4b4ffd735,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/a42ce90a-3c16-4d8e-91d9-47c4b4ffd735
Explorer International Kids Camps,summer_camp,False,,Slovenia,"Velenje, Slovenia",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/e286ac08-4205-4ddc-be0f-0aef14812e65,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/e286ac08-4205-4ddc-be0f-0aef14812e65
Flow Ramps Summer Camp,summer_camp,False,,Slovenia,"Rečica ob Savinji, Slovenia",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/45413ea6-5071-4f2e-b343-4ca0093fc6c4,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/45413ea6-5071-4f2e-b343-4ca0093fc6c4
4 Elements Galicia Bilingual Forest School Day Camp,summer_camp,False,dropoff,Spain,"Muxía, Spain",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/c585d74c-b40b-40bd-9f38-bd4c18c878bd,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/c585d74c-b40b-40bd-9f38-bd4c18c878bd
Fishing Summer Camp,summer_camp,False,,Spain,"Barruera, Spain",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/4f84b4bb-e186-427b-b11c-1d42cd46d016,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/4f84b4bb-e186-427b-b11c-1d42cd46d016
"Institute of the Arts Barcelona, Musical Theatre Summer Camp",summer_camp,False,,Spain,"Sitges, Spain",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/8c811844-8f54-41c3-9e9c-8e78481e2d33,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/8c811844-8f54-41c3-9e9c-8e78481e2d33
Learnlife Summer Camp,summer_camp,False,,Spain,"Castelldefels, Spain",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/18f44c5a-2ea4-46d7-82c9-42c059554497,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/18f44c5a-2ea4-46d7-82c9-42c059554497
My Spanish Camp,summer_camp,True,,Spain,"Alfoz de Bricia, Spain",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/40412cc1-84dc-4aef-884c-bc79f4c8e21a,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/40412cc1-84dc-4aef-884c-bc79f4c8e21a
Olé Immersion Summer Camps,summer_camp,True,,Spain,"València, Spain",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/670c5fbf-7175-4ae1-8139-4e2ba4fc3125,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/670c5fbf-7175-4ae1-8139-4e2ba4fc3125
Planet Surf Camps,summer_camp,False,,Spain,"San Vicente de la Barquera, Spain",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/a77db7e9-1624-4f36-906c-94c5d8b63666,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/a77db7e9-1624-4f36-906c-94c5d8b63666
Sotogrande International School Junior Summer Camp,summer_camp,False,dropoff,Spain,"Cádiz, Spain",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/74351640-51ad-4576-a940-7c2c66f63072,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/74351640-51ad-4576-a940-7c2c66f63072
Brevik Summer Camp,summer_camp,False,,Sweden,"Vikbolandet, Sweden",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/76ad8329-9a03-45a4-83dd-f9bf902c5d87,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/76ad8329-9a03-45a4-83dd-f9bf902c5d87
International Camp Suisse (Elementary Ages),summer_camp,False,,Switzerland,"Val-d'Illiez, Switzerland",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/5cf55c7b-b2ad-4235-b7c6-15a96a631308,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/5cf55c7b-b2ad-4235-b7c6-15a96a631308
Young Explorers Club,summer_camp,False,,Switzerland,"Les Diablerets, Switzerland",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/8cf4680a-e641-4e49-90fd-a41f71c7b1cf,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/8cf4680a-e641-4e49-90fd-a41f71c7b1cf
Able Summer Camp,summer_camp,False,,Thailand,"Mueang Chiang Mai, Thailand",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/5337c244-4b93-4330-852b-2d22cc8ad6fb,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/5337c244-4b93-4330-852b-2d22cc8ad6fb
Camp Crusoe,summer_camp,False,,United Kingdom,"England, United Kingdom",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/b14db98f-b4fc-405c-b819-89a90a4b0d9c,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/b14db98f-b4fc-405c-b819-89a90a4b0d9c
Mill on the Brue Outdoor Activity Centre Summer Camp,summer_camp,False,,United Kingdom,"Bruton, United Kingdom",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/f65f0b77-f7ec-4293-8c57-810d80a7030a,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/f65f0b77-f7ec-4293-8c57-810d80a7030a
Wild Outdoors,summer_camp,False,,United Kingdom,"Edinburgh, United Kingdom",,rendered from wanderworks.life,,,,inbox-approved,https://wanderworks.life/camp/23421ab7-686f-4e65-8abe-3c6e75da5341,,inbox (browser:wanderworks.life),,Website: https://wanderworks.life/camp/23421ab7-686f-4e65-8abe-3c6e75da5341
